"","PSID","Gene","Module"
"E2F2","E2F2","E2F2","MsAge7K_00"
"MPP4","MPP4","MPP4","MsAge7K_00"
"BMP4","BMP4","BMP4","MsAge7K_00"
"GLIS1","GLIS1","GLIS1","MsAge7K_08"
"DES","DES","DES","MsAge7K_00"
"PLA1A","PLA1A","PLA1A","MsAge7K_00"
"CFAP161","CFAP161","CFAP161","MsAge7K_06"
"OLFML2A","OLFML2A","OLFML2A","MsAge7K_07"
"IL27RA","IL27RA","IL27RA","MsAge7K_00"
"XAF1","XAF1","XAF1","MsAge7K_04"
"CMKLR1","CMKLR1","CMKLR1","MsAge7K_04"
"LOXL4","LOXL4","LOXL4","MsAge7K_00"
"DNAI2","DNAI2","DNAI2","MsAge7K_00"
"RAMP3","RAMP3","RAMP3","MsAge7K_00"
"IDE","IDE","IDE","MsAge7K_00"
"FIBIN","FIBIN","FIBIN","MsAge7K_07"
"EDN1","EDN1","EDN1","MsAge7K_00"
"ADCYAP1","ADCYAP1","ADCYAP1","MsAge7K_05"
"ALDH3A1","ALDH3A1","ALDH3A1","MsAge7K_00"
"COL6A2","COL6A2","COL6A2","MsAge7K_05"
"UNC13D","UNC13D","UNC13D","MsAge7K_00"
"ANKUB1","ANKUB1","ANKUB1","MsAge7K_09"
"GEM","GEM","GEM","MsAge7K_00"
"C9orf116","C9orf116","C9orf116","MsAge7K_00"
"PLCH1","PLCH1","PLCH1","MsAge7K_02"
"PHF19","PHF19","PHF19","MsAge7K_00"
"OPRK1","OPRK1","OPRK1","MsAge7K_00"
"CENPF","CENPF","CENPF","MsAge7K_01"
