"","GeneL","modulesA1L"
"576","HMGCS2","MsAge7K_00"
"577","SPSB2","MsAge7K_00"
"578","SERPING1","MsAge7K_07"
"579","CARD14","MsAge7K_00"
"580","ARPC1B","MsAge7K_01"
"581","ASB14","MsAge7K_00"
"582","SLCO4A1","MsAge7K_00"
"583","C17orf97","MsAge7K_00"
"584","SLC4A11","MsAge7K_00"
"585","AOC3","MsAge7K_00"
"586","KBTBD6","MsAge7K_00"
"587","KBTBD7","MsAge7K_00"
"588","CACNA2D4","MsAge7K_01"
"589","BCL6B","MsAge7K_00"
"590","GLRA3","MsAge7K_02"
"591","PARP14","MsAge7K_04"
"592","CRH","MsAge7K_00"
"593","BTG2","MsAge7K_13"
"594","FBLN2","MsAge7K_00"
"595","RANBP3L","MsAge7K_07"
"596","RAD51AP2","MsAge7K_00"
"597","PTAR1","MsAge7K_03"
"598","LIPH","MsAge7K_00"
"599","RGS22","MsAge7K_06"
"600","ALOX5","MsAge7K_00"
"601","OR10H4","MsAge7K_00"
"602","OR10H3","MsAge7K_00"
"603","NHLH2","MsAge7K_01"
"604","PNPLA1","MsAge7K_00"
"605","EXOC3L4","MsAge7K_00"
"606","ACR","MsAge7K_00"
"607","C2","MsAge7K_00"
"608","ALDH3B2","MsAge7K_00"
"609","TBX6","MsAge7K_00"
"610","OR10H1","MsAge7K_00"
"611","OR10H5","MsAge7K_00"
"612","OR10H2","MsAge7K_00"
"613","AK8","MsAge7K_00"
"614","MOG","MsAge7K_01"
"615","REC8","MsAge7K_00"
"616","SHCBP1","MsAge7K_00"
"617","CCDC187","MsAge7K_06"
"618","NXPH4","MsAge7K_00"
"619","ZAN","MsAge7K_00"
"620","PTGDR","MsAge7K_00"
"621","RDH16","MsAge7K_00"
"622","TSPAN2","MsAge7K_01"
"623","MPZL2","MsAge7K_07"
"624","HIST1H1E","MsAge7K_00"
"625","ATP2C2","MsAge7K_00"
"626","CCDC170","MsAge7K_14"
"627","SPX","MsAge7K_00"
"628","CFAP58","MsAge7K_00"
"629","TPBG","MsAge7K_05"
"630","CRABP1","MsAge7K_00"
"631","WNK3","MsAge7K_03"
"632","CDC6","MsAge7K_00"
"633","TMPRSS6","MsAge7K_00"
"634","USP18","MsAge7K_04"
"635","USP41","MsAge7K_04"
"636","SLFN11","MsAge7K_00"
"637","SLFN13","MsAge7K_00"
"638","ANKH","MsAge7K_00"
"639","CKAP2","MsAge7K_01"
"640","NEK5","MsAge7K_00"
"641","LEMD1","MsAge7K_02"
"642","SATB2","MsAge7K_02"
"643","RXRG","MsAge7K_05"
"644","EVA1C","MsAge7K_00"
"645","WNT9A","MsAge7K_00"
