"","CellType_Vs_Others","MsGene"
"LRP3","AstroByothersCuffdiff2FCover20","Lrp3"
"LRP5","MicrogliByothersCuffdiff2FCover20","Lrp5"
"LRP5L","MicrogliByothersCuffdiff2FCover20","Lrp5"
"LRP8","EndotheByothersCuffdiff2FCover20","Lrp8"
"LRRC23","AstroByothersCuffdiff2FCover20","Lrrc23"
"LRRC25","MicrogliByothersCuffdiff2FCover20","Lrrc25"
"LRRC26","NeuronByothersCuffdiff2FCover20","Lrrc26"
"LRRC28","MicrogliByothersCuffdiff2FCover20","Lrrc28"
"LRRC38","AstroByothersCuffdiff2FCover20","Lrrc38"
"LRRC3B","NeuronByothersCuffdiff2FCover20","Lrrc3b"
"LRRC74B","AstroByothersCuffdiff2FCover20","Lrrc74b"
"LRRC75A","MicrogliByothersCuffdiff2FCover20","Lrrc75a"
"LRRC8A","MyeOligoByothersCuffdiff2FCover20","Lrrc8a"
"LRRC8D","NeuronByothersCuffdiff2FCover20","Lrrc8d"
"LRRC9","AstroByothersCuffdiff2FCover20","Lrrc9"
"LRRFIP1","NeuronByothersCuffdiff2FCover20","Lrrfip1"
"LRRK2","AstroByothersCuffdiff2FCover20","Lrrk2"
"LSM14A","EndotheByothersCuffdiff2FCover20","Lsm14a"
"LSP1","MicrogliByothersCuffdiff2FCover20","Lsp1"
"LSR","EndotheByothersCuffdiff2FCover20","Lsr"
"LST1","MicrogliByothersCuffdiff2FCover20","Lst1"
"LTB","MicrogliByothersCuffdiff2FCover20","Ltb"
"LTBP1","AstroByothersCuffdiff2FCover20","Ltbp1"
"LTBP4","EndotheByothersCuffdiff2FCover20","Ltbp4"
"LTC4S","MicrogliByothersCuffdiff2FCover20","Ltc4s"
"LTF","MicrogliByothersCuffdiff2FCover20","Ltf"
"LUM","PreOligoByothersCuffdiff2FCover20","Lum"
"LXN","AstroByothersCuffdiff2FCover20","Lxn"
"LY6D","MicrogliByothersCuffdiff2FCover20","Ly6d"
"LY6E","MicrogliByothersCuffdiff2FCover20","Ly6e"
"LY75","EndotheByothersCuffdiff2FCover20","Ly75"
"LY75-CD302","EndotheByothersCuffdiff2FCover20","Ly75"
"LY86","MicrogliByothersCuffdiff2FCover20","Ly86"
"LY9","MicrogliByothersCuffdiff2FCover20","Ly9"
"LYAR","AstroByothersCuffdiff2FCover20","Lyar"
"LYL1","MicrogliByothersCuffdiff2FCover20","Lyl1"
"LYN","MicrogliByothersCuffdiff2FCover20","Lyn"
"LYPD2","EndotheByothersCuffdiff2FCover20","Lypd2"
"LYSMD4","MyeOligoByothersCuffdiff2FCover20","Lysmd4"
"LYVE1","MicrogliByothersCuffdiff2FCover20","Lyve1"
"M1AP","MicrogliByothersCuffdiff2FCover20","M1ap"
"MAB21L1","NeuronByothersCuffdiff2FCover20","Mab21l1"
"MACF1","NeuronByothersCuffdiff2FCover20","Macf1"
"MADCAM1","EndotheByothersCuffdiff2FCover20","Madcam1"
"MADD","MicrogliByothersCuffdiff2FCover20","Madd"
"MAEA","AstroByothersCuffdiff2FCover20","Maea"
"MAF","MicrogliByothersCuffdiff2FCover20","Maf"
"MAFB","MicrogliByothersCuffdiff2FCover20","Mafb"
"MAFF","MicrogliByothersCuffdiff2FCover20","Maff"
"MAG","MyeOligoByothersCuffdiff2FCover20","Mag"
"MAGEL2","NeuronByothersCuffdiff2FCover20","Magel2"
"MAGI2","MyeOligoByothersCuffdiff2FCover20","Magi2"
"MAGIX","EndotheByothersCuffdiff2FCover20","Magix"
"MAL","MyeOligoByothersCuffdiff2FCover20","Mal"
"MALL","EndotheByothersCuffdiff2FCover20","Mall"
"MAMDC2","AstroByothersCuffdiff2FCover20","Mamdc2"
"MAMSTR","EndotheByothersCuffdiff2FCover20","Mamstr"
"MAN2B1","MicrogliByothersCuffdiff2FCover20","Man2b1"
"MAN2B2","MicrogliByothersCuffdiff2FCover20","Man2b2"
"MANBA","MyeOligoByothersCuffdiff2FCover20","Manba"
"MAP2","NeuronByothersCuffdiff2FCover20","Map2"
"MAP2K7","MyeOligoByothersCuffdiff2FCover20","Map2k7"
"MAP3K1","PreOligoByothersCuffdiff2FCover20","Map3k1"
"MAP3K20","EndotheByothersCuffdiff2FCover20","Map3k20"
"MAP3K8","MicrogliByothersCuffdiff2FCover20","Map3k8"
"MAP3K9","NeuronByothersCuffdiff2FCover20","Map3k9"
"MAP4","MyeOligoByothersCuffdiff2FCover20","Map4"
"MAP4K2","EndotheByothersCuffdiff2FCover20","Map4k2"
"MAP4K4","MyeOligoByothersCuffdiff2FCover20","Map4k4"
"MAP7","MyeOligoByothersCuffdiff2FCover20","Map7"
"MAP7D3","AstroByothersCuffdiff2FCover20","Map7d3"
"MAPK3","MyeOligoByothersCuffdiff2FCover20","Mapk3"
"MAPK4","AstroByothersCuffdiff2FCover20","Mapk4"
"MAPK8","NeuronByothersCuffdiff2FCover20","Mapk8"
"MAPK8IP3","NewOligoByothersCuffdiff2FCover20","Mapk8ip3"
"MAPRE3","NewOligoByothersCuffdiff2FCover20","Mapre3"
"MAPT","NeuronByothersCuffdiff2FCover20","Mapt"
"MARC2","PreOligoByothersCuffdiff2FCover20","Marc2"
"MARCH1","MicrogliByothersCuffdiff2FCover20","March1"
"MARCH4","NeuronByothersCuffdiff2FCover20","March4"
"MARCH5","AstroByothersCuffdiff2FCover20","March5"
"MARCH8","NeuronByothersCuffdiff2FCover20","March8"
"MARK2","MicrogliByothersCuffdiff2FCover20","Mark2"
"MARVELD2","EndotheByothersCuffdiff2FCover20","Marveld2"
"MAST1","NeuronByothersCuffdiff2FCover20","Mast1"
"MAST2","NeuronByothersCuffdiff2FCover20","Mast2"
"MAST3","MyeOligoByothersCuffdiff2FCover20","Mast3"
"MATN1","NewOligoByothersCuffdiff2FCover20","Matn1"
"MATN4","MicrogliByothersCuffdiff2FCover20","Matn4"
"MATR3","AstroByothersCuffdiff2FCover20","Matr3"
"MAU2","MyeOligoByothersCuffdiff2FCover20","Mau2"
"CGAS","MicrogliByothersCuffdiff2FCover20","Mb21d1"
"MBD5","EndotheByothersCuffdiff2FCover20","Mbd5"
"MBNL1","MicrogliByothersCuffdiff2FCover20","Mbnl1"
"MBNL2","NeuronByothersCuffdiff2FCover20","Mbnl2"
"MBOAT7","MicrogliByothersCuffdiff2FCover20","Mboat7"
"MBTPS1","MicrogliByothersCuffdiff2FCover20","Mbtps1"
"MCEMP1","MicrogliByothersCuffdiff2FCover20","Mcemp1"
"MCF2L","AstroByothersCuffdiff2FCover20","Mcf2l"
"MCFD2","NeuronByothersCuffdiff2FCover20","Mcfd2"
"MCL1","MicrogliByothersCuffdiff2FCover20","Mcl1"
"MCPH1","EndotheByothersCuffdiff2FCover20","Mcph1"
"MCTP1","NeuronByothersCuffdiff2FCover20","Mctp1"
"MCUB","NeuronByothersCuffdiff2FCover20","Mcub"
"MDH2","EndotheByothersCuffdiff2FCover20","Mdh2"
"MEAF6","NeuronByothersCuffdiff2FCover20","Meaf6"
"MECOM","EndotheByothersCuffdiff2FCover20","Mecom"
"MECR","AstroByothersCuffdiff2FCover20","Mecr"
"MED12L","MicrogliByothersCuffdiff2FCover20","Med12l"
"MED16","MyeOligoByothersCuffdiff2FCover20","Med16"
"MED23","NewOligoByothersCuffdiff2FCover20","Med23"
"MED27","MicrogliByothersCuffdiff2FCover20","Med27"
"MEF2C","NeuronByothersCuffdiff2FCover20","Mef2c"
"MEGF6","NeuronByothersCuffdiff2FCover20","Megf6"
"MEIS1","AstroByothersCuffdiff2FCover20","Meis1"
"MEIS2","AstroByothersCuffdiff2FCover20","Meis2"
"MEOX1","EndotheByothersCuffdiff2FCover20","Meox1"
"METTL3","NewOligoByothersCuffdiff2FCover20","Mettl3"
"METTL7A","NeuronByothersCuffdiff2FCover20","Mettl7a3"
"MFGE8","AstroByothersCuffdiff2FCover20","Mfge8"
"MFN2","NeuronByothersCuffdiff2FCover20","Mfn2"
"MFSD12","MicrogliByothersCuffdiff2FCover20","Mfsd12"
"MFSD13A","MicrogliByothersCuffdiff2FCover20","Mfsd13a"
"MFSD6","NeuronByothersCuffdiff2FCover20","Mfsd6"
"MFSD6L","EndotheByothersCuffdiff2FCover20","Mfsd6l"
"MFSD9","MyeOligoByothersCuffdiff2FCover20","Mfsd9"
"MGAT4C","NeuronByothersCuffdiff2FCover20","Mgat4c"
"CLEC10A","MicrogliByothersCuffdiff2FCover20","Mgl2"
"MGME1","MicrogliByothersCuffdiff2FCover20","Mgme1"
"MGP","EndotheByothersCuffdiff2FCover20","Mgp"
"MGST2","EndotheByothersCuffdiff2FCover20","Mgst2"
"CTAGE9","NeuronByothersCuffdiff2FCover20","Mia2"
"CTAGE15","NeuronByothersCuffdiff2FCover20","Mia2"
"CTAGE1","NeuronByothersCuffdiff2FCover20","Mia2"
"CTAGE8","NeuronByothersCuffdiff2FCover20","Mia2"
"MIA2","NeuronByothersCuffdiff2FCover20","Mia2"
"CTAGE4","NeuronByothersCuffdiff2FCover20","Mia2"
"CTAGE6","NeuronByothersCuffdiff2FCover20","Mia2"
"MICAL1","MicrogliByothersCuffdiff2FCover20","Mical1"
"MICAL3","MicrogliByothersCuffdiff2FCover20","Mical3"
"MICU1","NeuronByothersCuffdiff2FCover20","Micu1"
"MIER1","MicrogliByothersCuffdiff2FCover20","Mier1"
"MIER3","MyeOligoByothersCuffdiff2FCover20","Mier3"
"MIGA2","EndotheByothersCuffdiff2FCover20","Miga2"
"RAET1G","EndotheByothersCuffdiff2FCover20","Mill2"
"ULBP3","EndotheByothersCuffdiff2FCover20","Mill2"
"ULBP1","EndotheByothersCuffdiff2FCover20","Mill2"
"RAET1E","EndotheByothersCuffdiff2FCover20","Mill2"
"RAET1L","EndotheByothersCuffdiff2FCover20","Mill2"
"ULBP2","EndotheByothersCuffdiff2FCover20","Mill2"
"MILR1","MicrogliByothersCuffdiff2FCover20","Milr1"
"MINDY3","PreOligoByothersCuffdiff2FCover20","Mindy3"
"MIPOL1","MicrogliByothersCuffdiff2FCover20","Mipol1"
"MRTFA","PreOligoByothersCuffdiff2FCover20","Mkl1"
"MRTFB","EndotheByothersCuffdiff2FCover20","Mkl2"
"MKNK1","MicrogliByothersCuffdiff2FCover20","Mknk1"
"MKRN2","MyeOligoByothersCuffdiff2FCover20","Mkrn2"
"MLC1","AstroByothersCuffdiff2FCover20","Mlc1"
"MLIP","NeuronByothersCuffdiff2FCover20","Mlip"
"MLKL","EndotheByothersCuffdiff2FCover20","Mlkl"
"MLLT11","NeuronByothersCuffdiff2FCover20","Mllt11"
"MLPH","MicrogliByothersCuffdiff2FCover20","Mlph"
"MLXIPL","MicrogliByothersCuffdiff2FCover20","Mlxipl"
"MME","NeuronByothersCuffdiff2FCover20","Mme"
"MMP12","MicrogliByothersCuffdiff2FCover20","Mmp12"
"MMP14","AstroByothersCuffdiff2FCover20","Mmp14"
"MMP25","EndotheByothersCuffdiff2FCover20","Mmp25"
"MMP9","MicrogliByothersCuffdiff2FCover20","Mmp9"
"MMRN1","EndotheByothersCuffdiff2FCover20","Mmrn1"
"MMRN2","EndotheByothersCuffdiff2FCover20","Mmrn2"
"MNS1","MyeOligoByothersCuffdiff2FCover20","Mns1"
"MOB3C","MicrogliByothersCuffdiff2FCover20","Mob3c"
"MOG","MyeOligoByothersCuffdiff2FCover20","Mog"
"MON2","MicrogliByothersCuffdiff2FCover20","Mon2"
"MORC3","MyeOligoByothersCuffdiff2FCover20","Morc3"
"MORC4","NewOligoByothersCuffdiff2FCover20","Morc4"
"MORF4L1","MyeOligoByothersCuffdiff2FCover20","Morf4l1"
"MORF4L2","MyeOligoByothersCuffdiff2FCover20","Morf4l2"
"MPEG1","MicrogliByothersCuffdiff2FCover20","Mpeg1"
"MPP7","EndotheByothersCuffdiff2FCover20","Mpp7"
"MPST","AstroByothersCuffdiff2FCover20","Mpst"
"MPZL1","EndotheByothersCuffdiff2FCover20","Mpzl1"
"MRAP2","NeuronByothersCuffdiff2FCover20","Mrap2"
"MRC1","MicrogliByothersCuffdiff2FCover20","Mrc1"
"MRGPRF","PreOligoByothersCuffdiff2FCover20","Mrgprf"
"MROH1","NeuronByothersCuffdiff2FCover20","Mroh1"
"MROH6","AstroByothersCuffdiff2FCover20","Mroh6"
"MRPS17","EndotheByothersCuffdiff2FCover20","Mrps17"
"MRPS18C","MyeOligoByothersCuffdiff2FCover20","Mrps18c"
"MRPS35","AstroByothersCuffdiff2FCover20","Mrps35"
"MRPS36","MyeOligoByothersCuffdiff2FCover20","Mrps36"
"MS4A4E","MicrogliByothersCuffdiff2FCover20","Ms4a4a"
"MS4A4A","MicrogliByothersCuffdiff2FCover20","Ms4a4a"
"MS4A7","MicrogliByothersCuffdiff2FCover20","Ms4a7"
"MSH5","MicrogliByothersCuffdiff2FCover20","Msh5"
"MSH5-SAPCD1","MicrogliByothersCuffdiff2FCover20","Msh5"
"MSMO1","PreOligoByothersCuffdiff2FCover20","Msmo1"
"MSR1","MicrogliByothersCuffdiff2FCover20","Msr1"
"MSRB3","EndotheByothersCuffdiff2FCover20","Msrb3"
"MSX2","AstroByothersCuffdiff2FCover20","Msx2"
"MTA1","MyeOligoByothersCuffdiff2FCover20","Mta1"
"MTCL1","NeuronByothersCuffdiff2FCover20","Mtcl1"
"ST20-MTHFS","MyeOligoByothersCuffdiff2FCover20","Mthfsl"
"MTHFS","MyeOligoByothersCuffdiff2FCover20","Mthfsl"
"MTM1","AstroByothersCuffdiff2FCover20","Mtm1"
"MTR","MicrogliByothersCuffdiff2FCover20","Mtr"
"MTSS1","NeuronByothersCuffdiff2FCover20","Mtss1"
"MUC13","EndotheByothersCuffdiff2FCover20","Muc13"
"MUM1","MyeOligoByothersCuffdiff2FCover20","Mum1"
"MXI1","AstroByothersCuffdiff2FCover20","Mxi1"
"MXRA8","AstroByothersCuffdiff2FCover20","Mxra8"
"MYADML2","MicrogliByothersCuffdiff2FCover20","Myadml2"
"MYBL1","PreOligoByothersCuffdiff2FCover20","Mybl1"
"MYBPC3","MicrogliByothersCuffdiff2FCover20","Mybpc3"
"MYCT1","EndotheByothersCuffdiff2FCover20","Myct1"
"MYD88","MyeOligoByothersCuffdiff2FCover20","Myd88"
"MYH10","NeuronByothersCuffdiff2FCover20","Myh10"
"MYL2","MyeOligoByothersCuffdiff2FCover20","Myl2"
"MYL4","EndotheByothersCuffdiff2FCover20","Myl4"
"MYLIP","MicrogliByothersCuffdiff2FCover20","Mylip"
"MYLK2","AstroByothersCuffdiff2FCover20","Mylk2"
"MYLPF","MyeOligoByothersCuffdiff2FCover20","Mylpf"
"MYMK","MicrogliByothersCuffdiff2FCover20","Mymk"
"MYNN","AstroByothersCuffdiff2FCover20","Mynn"
"MYO10","EndotheByothersCuffdiff2FCover20","Myo10"
"MYO18A","AstroByothersCuffdiff2FCover20","Myo18a"
"MYO18B","MicrogliByothersCuffdiff2FCover20","Myo18b"
"MYO1B","EndotheByothersCuffdiff2FCover20","Myo1b"
"MYO1C","MicrogliByothersCuffdiff2FCover20","Myo1c"
"MYO1F","MicrogliByothersCuffdiff2FCover20","Myo1f"
"MYO1G","MicrogliByothersCuffdiff2FCover20","Myo1g"
"MYO5A","PreOligoByothersCuffdiff2FCover20","Myo5a"
"MYO7A","MicrogliByothersCuffdiff2FCover20","Myo7a"
"MYO9A","NeuronByothersCuffdiff2FCover20","Myo9a"
"MYO9B","MicrogliByothersCuffdiff2FCover20","Myo9b"
"MYOF","EndotheByothersCuffdiff2FCover20","Myof"
"MYOM1","MicrogliByothersCuffdiff2FCover20","Myom1"
"MYOM3","AstroByothersCuffdiff2FCover20","Myom3"
"MYRF","NewOligoByothersCuffdiff2FCover20","Myrf"
"MYT1","PreOligoByothersCuffdiff2FCover20","Myt1"
"MYT1L","NeuronByothersCuffdiff2FCover20","Myt1l"
"N4BP3","EndotheByothersCuffdiff2FCover20","N4bp3"
"NAA20","MicrogliByothersCuffdiff2FCover20","Naa20"
"NAA30","PreOligoByothersCuffdiff2FCover20","Naa30"
"NAA35","PreOligoByothersCuffdiff2FCover20","Naa35"
"NAA60","MyeOligoByothersCuffdiff2FCover20","Naa60"
"NAALAD2","EndotheByothersCuffdiff2FCover20","Naalad2"
"NAB2","MicrogliByothersCuffdiff2FCover20","Nab2"
"NABP2","EndotheByothersCuffdiff2FCover20","Nabp2"
"NAE1","NeuronByothersCuffdiff2FCover20","Nae1"
"NAGLU","NeuronByothersCuffdiff2FCover20","Naglu"
"NAMPT","EndotheByothersCuffdiff2FCover20","Nampt"
"NAPB","NeuronByothersCuffdiff2FCover20","Napb"
"NAPRT","AstroByothersCuffdiff2FCover20","Naprt"
"NAPSA","MicrogliByothersCuffdiff2FCover20","Napsa"
"NAT2","AstroByothersCuffdiff2FCover20","Nat1"
"NAT1","AstroByothersCuffdiff2FCover20","Nat1"
"NAT8","AstroByothersCuffdiff2FCover20","Nat8"
"NBAS","MicrogliByothersCuffdiff2FCover20","Nbas"
"NBEA","NeuronByothersCuffdiff2FCover20","Nbea"
"NBEAL1","MyeOligoByothersCuffdiff2FCover20","Nbeal1"
"NBEAL2","MicrogliByothersCuffdiff2FCover20","Nbeal2"
"NCALD","PreOligoByothersCuffdiff2FCover20","Ncald"
"NCAPH","EndotheByothersCuffdiff2FCover20","Ncaph"
"NCEH1","MyeOligoByothersCuffdiff2FCover20","Nceh1"
"NCF1","MicrogliByothersCuffdiff2FCover20","Ncf1"
"NCF2","MicrogliByothersCuffdiff2FCover20","Ncf2"
"NCF4","MicrogliByothersCuffdiff2FCover20","Ncf4"
"NCKAP1","NeuronByothersCuffdiff2FCover20","Nckap1"
"NCKAP1L","MicrogliByothersCuffdiff2FCover20","Nckap1l"
"NCKAP5","AstroByothersCuffdiff2FCover20","Nckap5"
"NCKIPSD","MicrogliByothersCuffdiff2FCover20","Nckipsd"
"NCOA4","MicrogliByothersCuffdiff2FCover20","Ncoa4"
"NCOA7","EndotheByothersCuffdiff2FCover20","Ncoa7"
"NCOR1","NewOligoByothersCuffdiff2FCover20","Ncor1"
"NDNF","NeuronByothersCuffdiff2FCover20","Ndnf"
"NDRG1","MyeOligoByothersCuffdiff2FCover20","Ndrg1"
"NDRG2","AstroByothersCuffdiff2FCover20","Ndrg2"
"NDRG3","NeuronByothersCuffdiff2FCover20","Ndrg3"
"NDRG4","NeuronByothersCuffdiff2FCover20","Ndrg4"
"NDST3","NeuronByothersCuffdiff2FCover20","Ndst3"
"NDST4","NeuronByothersCuffdiff2FCover20","Ndst4"
"NDUFA4L2","EndotheByothersCuffdiff2FCover20","Ndufa4l2"
"NDUFC2-KCTD14","MicrogliByothersCuffdiff2FCover20","Ndufc2"
"NDUFC2","MicrogliByothersCuffdiff2FCover20","Ndufc2"
"NDUFS1","NewOligoByothersCuffdiff2FCover20","Ndufs1"
"NECAB1","NeuronByothersCuffdiff2FCover20","Necab1"
"NECAB3","MicrogliByothersCuffdiff2FCover20","Necab3"
"NEDD4","PreOligoByothersCuffdiff2FCover20","Nedd4"
"NEDD4L","NeuronByothersCuffdiff2FCover20","Nedd4l"
"NEDD9","EndotheByothersCuffdiff2FCover20","Nedd9"
"NEK8","AstroByothersCuffdiff2FCover20","Nek8"
"NELFCD","MicrogliByothersCuffdiff2FCover20","Nelfcd"
"NELL1","NeuronByothersCuffdiff2FCover20","Nell1"
"NES","EndotheByothersCuffdiff2FCover20","Nes"
"NET1","EndotheByothersCuffdiff2FCover20","Net1"
"NEURL1","MicrogliByothersCuffdiff2FCover20","Neurl1a"
"NEURL3","MicrogliByothersCuffdiff2FCover20","Neurl3"
"NEUROD1","NeuronByothersCuffdiff2FCover20","Neurod1"
"NFAM1","MicrogliByothersCuffdiff2FCover20","Nfam1"
"NFASC","NeuronByothersCuffdiff2FCover20","Nfasc"
"NFATC2","MicrogliByothersCuffdiff2FCover20","Nfatc2"
"NFIA","NeuronByothersCuffdiff2FCover20","Nfia"
"NFIB","NeuronByothersCuffdiff2FCover20","Nfib"
"NFKB1","EndotheByothersCuffdiff2FCover20","Nfkb1"
"NFKB2","MicrogliByothersCuffdiff2FCover20","Nfkb2"
"NFKBID","MicrogliByothersCuffdiff2FCover20","Nfkbid"
"NFKBIE","MicrogliByothersCuffdiff2FCover20","Nfkbie"
"NFKBIZ","MicrogliByothersCuffdiff2FCover20","Nfkbiz"
"NFYA","MicrogliByothersCuffdiff2FCover20","Nfya"
"NFYC","NewOligoByothersCuffdiff2FCover20","Nfyc"
"NGEF","AstroByothersCuffdiff2FCover20","Ngef"
"NHLH1","NeuronByothersCuffdiff2FCover20","Nhlh1"
"NHLH2","NeuronByothersCuffdiff2FCover20","Nhlh2"
"NID1","EndotheByothersCuffdiff2FCover20","Nid1"
"NIM1K","AstroByothersCuffdiff2FCover20","Nim1k"
"NINJ1","MicrogliByothersCuffdiff2FCover20","Ninj1"
"NINJ2","MyeOligoByothersCuffdiff2FCover20","Ninj2"
"NIPA2","AstroByothersCuffdiff2FCover20","Nipa2"
"NIPAL3","MicrogliByothersCuffdiff2FCover20","Nipal3"
"NIT1","MyeOligoByothersCuffdiff2FCover20","Nit1"
"NKAIN1","MyeOligoByothersCuffdiff2FCover20","Nkain1"
"NKG7","MicrogliByothersCuffdiff2FCover20","Nkg7"
"NKX2-1","NeuronByothersCuffdiff2FCover20","Nkx2-1"
"NKX6-2","MyeOligoByothersCuffdiff2FCover20","Nkx6-2"
"NLRC3","EndotheByothersCuffdiff2FCover20","Nlrc3"
"NLRP1","MicrogliByothersCuffdiff2FCover20","Nlrp1a"
"NLRP3","MicrogliByothersCuffdiff2FCover20","Nlrp3"
"NME6","MicrogliByothersCuffdiff2FCover20","Nme6"
"NMI","EndotheByothersCuffdiff2FCover20","Nmi"
"NNMT","NeuronByothersCuffdiff2FCover20","Nnmt"
"NOCT","MicrogliByothersCuffdiff2FCover20","Noct"
"NOD2","MicrogliByothersCuffdiff2FCover20","Nod2"
"NODAL","EndotheByothersCuffdiff2FCover20","Nodal"
"NOL4","NeuronByothersCuffdiff2FCover20","Nol4"
"NOS1","NeuronByothersCuffdiff2FCover20","Nos1"
"NOS2","EndotheByothersCuffdiff2FCover20","Nos2"
"NOS3","EndotheByothersCuffdiff2FCover20","Nos3"
"NOSTRIN","EndotheByothersCuffdiff2FCover20","Nostrin"
"NOTCH3","AstroByothersCuffdiff2FCover20","Notch3"
"NOTUM","EndotheByothersCuffdiff2FCover20","Notum"
"NOX4","EndotheByothersCuffdiff2FCover20","Nox4"
"NPAS4","NeuronByothersCuffdiff2FCover20","Npas4"
"NPDC1","MicrogliByothersCuffdiff2FCover20","Npdc1"
"NPHP3-ACAD11","AstroByothersCuffdiff2FCover20","Nphp3"
"NPHP3","AstroByothersCuffdiff2FCover20","Nphp3"
"NPL","MicrogliByothersCuffdiff2FCover20","Npl"
"NPNT","MicrogliByothersCuffdiff2FCover20","Npnt"
"NPPC","NeuronByothersCuffdiff2FCover20","Nppc"
"NPR3","EndotheByothersCuffdiff2FCover20","Npr3"
"NPTN","PreOligoByothersCuffdiff2FCover20","Nptn"
"NPY","NeuronByothersCuffdiff2FCover20","Npy"
"NPY2R","NeuronByothersCuffdiff2FCover20","Npy2r"
"NR1H3","EndotheByothersCuffdiff2FCover20","Nr1h3"
"NR2F2","NeuronByothersCuffdiff2FCover20","Nr2f2"
"NR4A2","AstroByothersCuffdiff2FCover20","Nr4a2"
"NR4A3","MicrogliByothersCuffdiff2FCover20","Nr4a3"
"NRAP","MicrogliByothersCuffdiff2FCover20","Nrap"
"NRBP1","NeuronByothersCuffdiff2FCover20","Nrbp1"
"NRCAM","NeuronByothersCuffdiff2FCover20","Nrcam"
"NREP","NeuronByothersCuffdiff2FCover20","Nrep"
"NRG1","AstroByothersCuffdiff2FCover20","Nrg1"
"NRG3","NeuronByothersCuffdiff2FCover20","Nrg3"
"NRGN","MicrogliByothersCuffdiff2FCover20","Nrgn"
"NRIP3","NeuronByothersCuffdiff2FCover20","Nrip3"
"NRN1","NeuronByothersCuffdiff2FCover20","Nrn1"
"NRP2","EndotheByothersCuffdiff2FCover20","Nrp2"
"NRROS","MicrogliByothersCuffdiff2FCover20","Nrros"
"NRSN1","NewOligoByothersCuffdiff2FCover20","Nrsn1"
"NRXN1","NeuronByothersCuffdiff2FCover20","Nrxn1"
"NRXN3","NeuronByothersCuffdiff2FCover20","Nrxn3"
"NSD1","AstroByothersCuffdiff2FCover20","Nsd1"
"NSF","MyeOligoByothersCuffdiff2FCover20","Nsf"
"NSG1","NeuronByothersCuffdiff2FCover20","Nsg1"
"NSMF","NeuronByothersCuffdiff2FCover20","Nsmf"
"NTM","MicrogliByothersCuffdiff2FCover20","Ntm"
"NTN5","NeuronByothersCuffdiff2FCover20","Ntn5"
"NTPCR","MicrogliByothersCuffdiff2FCover20","Ntpcr"
"NTRK1","NeuronByothersCuffdiff2FCover20","Ntrk1"
"NTRK3","AstroByothersCuffdiff2FCover20","Ntrk3"
"NTSR2","AstroByothersCuffdiff2FCover20","Ntsr2"
"NUAK2","MicrogliByothersCuffdiff2FCover20","Nuak2"
"NUCB2","NeuronByothersCuffdiff2FCover20","Nucb2"
"NUDT1","MicrogliByothersCuffdiff2FCover20","Nudt1"
"NUDT16","MicrogliByothersCuffdiff2FCover20","Nudt16"
"NUDT6","MyeOligoByothersCuffdiff2FCover20","Nudt6"
"NUDT9","MicrogliByothersCuffdiff2FCover20","Nudt9"
"NUMA1","AstroByothersCuffdiff2FCover20","Numa1"
"NUMB","MicrogliByothersCuffdiff2FCover20","Numb"
"NUMBL","NeuronByothersCuffdiff2FCover20","Numbl"
"NUP107","AstroByothersCuffdiff2FCover20","Nup107"
"NUP54","NeuronByothersCuffdiff2FCover20","Nup54"
"NUP93","AstroByothersCuffdiff2FCover20","Nup93"
"NUP58","PreOligoByothersCuffdiff2FCover20","Nupl1"
"NUPL2","AstroByothersCuffdiff2FCover20","Nupl2"
"NUPR1","MicrogliByothersCuffdiff2FCover20","Nupr1"
"NWD1","AstroByothersCuffdiff2FCover20","Nwd1"
"NWD2","NeuronByothersCuffdiff2FCover20","Nwd2"
"NXF1","MicrogliByothersCuffdiff2FCover20","Nxf1"
"NXNL2","NeuronByothersCuffdiff2FCover20","Nxnl2"
"NXPE2","EndotheByothersCuffdiff2FCover20","Nxpe2"
"NXPH1","PreOligoByothersCuffdiff2FCover20","Nxph1"
"NXPH2","NeuronByothersCuffdiff2FCover20","Nxph2"
"NXPH3","NeuronByothersCuffdiff2FCover20","Nxph3"
"NXPH4","NeuronByothersCuffdiff2FCover20","Nxph4"
"NYAP1","NeuronByothersCuffdiff2FCover20","Nyap1"
"NYAP2","NeuronByothersCuffdiff2FCover20","Nyap2"
"OAS1","EndotheByothersCuffdiff2FCover20","Oas1c"
"OAS2","MicrogliByothersCuffdiff2FCover20","Oas2"
"OASL","MicrogliByothersCuffdiff2FCover20","Oasl1"
"OCIAD1","AstroByothersCuffdiff2FCover20","Ociad1"
"OCLN","EndotheByothersCuffdiff2FCover20","Ocln"
"OCSTAMP","MicrogliByothersCuffdiff2FCover20","Ocstamp"
"ODF2","NeuronByothersCuffdiff2FCover20","Odf2"
"ODF3B","EndotheByothersCuffdiff2FCover20","Odf3b"
"OGFOD1","AstroByothersCuffdiff2FCover20","Ogfod1"
"OLFM1","NeuronByothersCuffdiff2FCover20","Olfm1"
"OLFM4","MicrogliByothersCuffdiff2FCover20","Olfm4"
"OLFML3","MicrogliByothersCuffdiff2FCover20","Olfml3"
"OR5V1","MicrogliByothersCuffdiff2FCover20","Olfr111"
"OPALIN","MyeOligoByothersCuffdiff2FCover20","Opalin"
"OPCML","NeuronByothersCuffdiff2FCover20","Opcml"
"OPHN1","MicrogliByothersCuffdiff2FCover20","Ophn1"
"OPRD1","NeuronByothersCuffdiff2FCover20","Oprd1"
